"Manage Attachments","Manage Attachments"
"Product Attachments","Product Attachments"
"Product Attachment","Product Attachment"
"Manage Icons","Manage Icons"
"File Download","File Download"
"Add New Attachment","Add New Attachment"
"Delete Attachment(s)","Delete Attachment(s)"
"General Configuration","General Configuration"
"Module Enable","Module Enable"
"Show On Product Details","Show On Product Details"
"Show On Product Tab","Show On Product Tab"
"Show Attachment Size","Show Attachment Size"
"Attachment Tab Label","Attachment Tab Label"
"Attachment Information","Attachment Information"
"Select Products","Select Products"
"Save Attachment","Save Attachment"
"New Attachment","New Attachment"
"Attachment Name","Attachment Name"
"Description","Description"
"File size must be less than %1 MB.","File size must be less than %1 MB."
"No File Uploaded","No File Uploaded"
"Upload file or Enter url","Upload file or Enter url"
"Product ID","Product ID"
"Attachment has been saved.","Attachment has been saved."
"Fileicon","Fileicon"
"File type","File type"
"Icon Image","Icon Image"
"ID","ID"
"Add new Fileicon","Add new Fileicon"
"Delete Productattach","Delete Productattach"
"OPEN FILE","OPEN FILE"
"DELETE FILE","DELETE FILE"
"You deleted the Fileicon.","You deleted the Fileicon."
"We can't find a Fileicon to delete.","We can't find a Fileicon to delete."
"Fileicons","Fileicons"
"New Fileicon","New Fileicon"
"Edit Fileicon","Edit Fileicon"
"Please correct the data sent.","Please correct the data sent."
"This Fileicon no longer exists.","This Fileicon no longer exists."
"You saved the Fileicon.","You saved the Fileicon."
"Something went wrong while saving the Fileicon.","Something went wrong while saving the Fileicon."
"The data has been deleted.","The data has been deleted."
"We can't find a data to delete.","We can't find a data to delete."
"The file has been deleted.","The file has been deleted."
"This Attachment no longer exists.","This Attachment no longer exists."
"A total of %1 Attachment(s) were deleted.","A total of %1 Attachment(s) were deleted."
"Something went wrong while saving the attachment.","Something went wrong while saving the attachment."
"Site Productattach","Site Productattach"
"Product Attachment Section","Product Attachment Section"
"Save","Save"
"Delete","Delete"
"Product Attachments","Product Attachments"
"Enable","Enable"
"Enable","Enable"
"Could not save the fileicon: %1","Could not save the fileicon: %1"
"Fileicon with id "%1" does not exist.","Fileicon with id "%1" does not exist."
"Could not delete the Fileicon: %1","Could not delete the Fileicon: %1"
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File size must be less than 20KB. Large icon images will effect page load time.","File size must be less than 20KB. Large icon images will effect page load time."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"no attachment found","no attachment found"
"Download","Download"
"Goto URL","Goto URL"
"--- No File ---","--- No File ---"
"Edit","Edit"
"File Extension/Type","File Extension/Type"
"For ex. png txt zip","For ex. png txt zip"
"Don't upload big sized icon image.","Don't upload big sized icon image."
"Are you sure you wan't to delete selected Attachment(s)?","Are you sure you wan't to delete selected Attachment(s)?"
"Store","Store"
"Customer Group","Customer Group"
"Name","Name"
"File","File"
"Status","Status"
"Delete image","Delete image"
"Size","Size"
"File type","File type"
"Save Fileicon","Save Fileicon"
"Maximum file size","Maximum file size"
"Upload","Upload"
"Select from Gallery","Select from Gallery"
"Browse to find or drag image here","Browse to find or drag image here"
"Disallowed file type.","Disallowed file type."
"This feature is an open source module licenced under GPL-3.0, read more on our Github page https://github.com/mageprince/magento2-productAttachment.","This feature is an open source module licenced under GPL-3.0, read more on <a href='https://github.com/mageprince/magento2-productAttachment' target='_blank'>our Github page</a>."
